,business_id,transactions,avg_rating,count_review,month_year,pickupordelivery,avgabove3.5star
0,jIeZ7gR0zZVUKUik0cmi3g,"['delivery', 'pickup']",3.3333333333333335,3,2021-03,yes,no
1,ej5wRN1VcKbiZxg9sG3Kmg,[],4.0,3,2021-08,no,yes
2,WjJxfju2UuQNJte0Vdzpyw,[],1.6666666666666667,3,2021-10,no,no
3,nyH45z28bR9nmhqlM2Y7fw,['delivery'],2.3333333333333335,3,2021-04,yes,no
4,Fo9vRaUX2OTrlUmcWvqdSA,[],3.0,2,2021-10,no,no
5,Yo9NDdsL_X9LquUHtBHBpQ,"['pickup', 'delivery']",1.6666666666666667,3,2013-05,yes,no
6,21FAnridQkQCJMM_PfyfcA,"['delivery', 'pickup']",4.333333333333333,3,2021-09,yes,yes
7,bMv3-DWg_8Y0aXOnheekQw,"['pickup', 'delivery']",3.3333333333333335,3,2017-01,yes,no
8,cDzDmJqIg72_rv1s4rCe8A,[],5.0,3,2020-05,no,yes
9,taJIv-3okWm4HTsQWt22Ig,[],3.6666666666666665,3,2018-05,no,yes
10,C9Swy4r-SjlRwWFIuv0vxA,[],1.0,3,2021-06,no,no
11,6c906sDbaOVpDgxOBZ-9yw,['delivery'],3.0,3,2021-06,yes,no
12,tKGEJyftZXdhWQMpUjUBrQ,[],3.6666666666666665,3,2021-05,no,yes
13,wOMYi5o__2kTCRLlGeDWYQ,[],2.3333333333333335,3,2021-06,no,no
14,z7YgpYhaSLuoc3MH2yeecg,"['pickup', 'delivery']",2.0,2,2021-10,yes,no
15,umlaKA5Sza0-SBpp1Zn-Cw,[],3.3333333333333335,3,2019-11,no,no
16,GdWMtucd6h6iN5HM3LfeOQ,['delivery'],3.3333333333333335,3,2018-06,yes,no
17,23gdZE-xrOaCsBwm-klFtw,['delivery'],3.3333333333333335,3,2014-11,yes,no
18,wYY4Y-smqdTgNtJlIKH32g,[],4.0,3,2020-12,no,yes
19,8gYIukYNei5Dz2m_s5bNUQ,[],1.0,3,2020-12,no,no
20,rEtN1jn6KD29ou2bwMprcQ,['delivery'],4.666666666666667,3,2021-11,yes,yes
21,E--vwmk9Oq0CMTvmBAbtiQ,['delivery'],4.0,3,2021-09,yes,yes
22,1_lNofxuRR84NrIq3FVx1A,['delivery'],1.3333333333333333,3,2018-12,yes,no
23,6hXY9ONm8V9pECGbuCUZkA,"['delivery', 'pickup']",2.0,3,2021-09,yes,no
24,Jc5_ps4Tdp-MZbi6XMFUIg,"['pickup', 'delivery']",2.6666666666666665,3,2018-06,yes,no
25,ilMb9IFmCc5nE78FMGiMug,['delivery'],3.0,3,2021-06,yes,no
26,QmzGDyB-S1zV7TXsd65CKA,[],2.3333333333333335,3,2015-12,no,no
27,_bYrR_sGfy32O1B7FWRqtA,['delivery'],1.0,3,2021-09,yes,no
28,-V6OEtCRXyyW37CQJsHIxA,['delivery'],3.3333333333333335,3,2019-02,yes,no
29,Mm5fCxzfGCuGMSWrdWo3yA,"['pickup', 'delivery']",2.0,3,2020-03,yes,no
30,binZAD0jYmEOIRwNre7UHw,['delivery'],2.0,3,2017-07,yes,no
31,Qp4KzhuNN3F0FiyTVB7Msg,"['pickup', 'delivery']",1.0,1,2018-06,yes,no
32,H7ypxWYecQbJ8Lnu6kBYHA,"['pickup', 'delivery']",3.3333333333333335,3,2021-05,yes,no
33,iUOhEwzqg3yQ7-1SRZnXlA,['delivery'],2.0,3,2020-02,yes,no
34,_k1qpoo6W31nVaxNZ8N_rw,[],3.0,3,2016-01,no,no
35,QZ-FqlXLf55kDvjmoG2Lkw,['delivery'],3.0,3,2021-11,yes,no
36,3mKWosTZhN8xD5A3z6Fvgg,['delivery'],2.3333333333333335,3,2017-08,yes,no
37,SrmzyAQwhhyv-7kOGydbkw,['delivery'],2.6666666666666665,3,2019-05,yes,no
38,Rz_KtkujG9wcNtXugpH6Ug,['delivery'],3.3333333333333335,3,2020-01,yes,no
39,Bw3Tkf99EfrzXhvfkiT9yA,[],3.3333333333333335,3,2020-06,no,no
40,NWf6TWJrVEuN5-SJp_ltJQ,['delivery'],2.0,3,2021-06,yes,no
41,HNRlGu4WHLumiVsPQtxmSw,[],3.6666666666666665,3,2021-09,no,yes
42,yE7qviLVdYsZgb5UNFJiGQ,"['delivery', 'pickup']",2.0,3,2016-01,yes,no
43,XJrWPOX-S_Cojyve6sSHxg,"['pickup', 'delivery']",2.0,3,2021-10,yes,no
44,_vAeqFMzkFy7OKZv8QPHRg,['delivery'],3.3333333333333335,3,2021-06,yes,no
45,tx_3hsmUiQK6wzJcxEgw1Q,[],3.3333333333333335,3,2021-01,no,no
46,dSmQk-JLXIOrteJ5U9LrFQ,['delivery'],5.0,3,2021-02,yes,yes
