X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER
2104002.66872257,742226.095792294,1446561,000D0B7A-3048-98E7-046FBA1DC52B6D55,SUBWAY #12460,706 W PEACE ST ,RALEIGH,NC,27605,35.78886208,-78.64931864,19198340605
2096548.44052081,742468.188155875,1446562,00365192-A8F6-87E1-4D85FECDC569C6AB,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,RALEIGH,NC,27607,35.78959693,-78.67445032,19198326522
2056904.76455899,680523.452465549,1446563,003B5816-EB2D-98FB-BB9A47422343117B,AVIATOR TASTING ROOM,209 TECHNOLOGY PARK  LN ,FUQUAY VARINA,NC,27526,35.61969631,-78.80852643,19195672337
2036281.98296998,731431.511082292,1446564,004B7CC3-9291-1A30-0887F2F9A7C9FEE5,Johnny's Pizza,1763 W Williams ST,APEX,NC,27523,35.75964934,-78.87770701,111111111111111
2112849.17465156,741976.117289633,1446565,0058F839-5056-A20B-FA849E6EB517DE0E,THE FALCON'S NEST AT ST. AUGUSTINE,1315 OAKWOOD AVE ,RALEIGH,NC,27601,35.78808582,-78.61949307,19198217646
2064159.68476039,785060.521934301,1446566,008A6B72-E823-5930-B24407ED48C781C8,ELEVATION BURGER,8301 BRIER CREEK  PKY ,RALEIGH,NC,27617,35.90685073,-78.78334742,19199992774
2098659.58852948,722681.953450218,1446567,00BF7B62-5056-A20B-FADB5F6951EC30EC,THE 19TH HOLE,1527 TRYON RD ,RALEIGH,NC,27603,35.73521897,-78.66755526,19197729987
2104495.00139931,775653.566010714,1446568,00CE5345-0311-776C-22695D158EEEA36E,LATIN QUARTERS,7335 SIX FORKS  RD ,RALEIGH,NC,27615,35.88069032,-78.64725808,19199008333
2151304.62628381,746028.415287375,1446569,00D18CF6-A9E0-C802-4912244307982DE1,DUNKIN DONUTS/BASKIN ROBBINS #331785,7137 KNIGHTDALE BLVD ,KNIGHTDALE,NC,27545,35.79874455,-78.48976003,19192179603
2095285.61496247,740602.543265134,1446570,00FC2D97-FE0A-549D-150427A6BFD57253,CLARK DINING HALL,221 JENSEN  DR ,RALEIGH,NC,27695,35.78448278,-78.67872874,19195134680
2095285.61496247,740602.543265134,1446571,00FF7E07-D5C4-3000-995FAB448FED097D,McKimmon Corner Cafe,1101 GORMAN ST ,RALEIGH,NC,27695,35.78448278,-78.67872874,19195158259
2124771.4611744,745943.518147469,1446572,0101A22A-D384-15BD-CA44676FD691DEA0,Pizza Hut # 1101,3691 NEW BERN  AVE ,RALEIGH,NC,27610,35.79885313,-78.57923704,19199008096
2106943.91677706,739813.515315637,1446573,010EBE88-D265-AB66-7F9392ED1ABEA2FC,DAILY PLANET CAFE,11   W JONES ST ,RALEIGH,NC,27601,35.78220511,-78.63943083,19197078060
