,business_id,review_count,rating,transactions
0,jIeZ7gR0zZVUKUik0cmi3g,14,2.0,"['delivery', 'pickup']"
1,ej5wRN1VcKbiZxg9sG3Kmg,74,3.5,[]
2,l1xgrid4DrewlurXLKiGyQ,88,3.0,[]
3,WjJxfju2UuQNJte0Vdzpyw,18,3.0,[]
4,59CuyNn13F7Sg8klYfz9zA,167,3.5,"['delivery', 'pickup']"
5,nyH45z28bR9nmhqlM2Y7fw,9,2.5,['delivery']
6,Fo9vRaUX2OTrlUmcWvqdSA,2,3.0,[]
7,Yo9NDdsL_X9LquUHtBHBpQ,35,1.5,"['pickup', 'delivery']"
8,-qCrGWYePySXmcngRhal4Q,90,4.0,['delivery']
9,RjELMSrh2DuTBJQ4YpzXUA,63,3.5,"['delivery', 'pickup']"
10,OXdKUXoDnjLGpNW9Go1e8A,7,3.0,[]
11,21FAnridQkQCJMM_PfyfcA,46,3.5,"['delivery', 'pickup']"
12,GKBnR6Si2s87FvH016q-tw,82,4.0,"['delivery', 'pickup']"
13,ebZiNQBDyYyU1cPxGV98IA,34,2.0,[]
14,rl7ePwiaEkP_NvvUtPvJWw,221,4.5,['delivery']
15,Mv3B5QYkiizu8bxLDYlWXA,49,3.5,[]
16,_pJ4hkjBXWmkbuXApO449Q,21,2.5,[]
17,8B2wBX9qUsG_MlFE5D-cRA,1,1.0,[]
18,wmqOVHiPQdudLrVfCoo7DA,52,3.0,[]
19,xrhet2jpWESz_f2dTbEJpA,135,3.5,['delivery']
20,SjpKnniYeACoNeHSaKeJ1Q,5,4.0,['delivery']
21,CxA7husNEjhF0YGovG-uIw,18,3.5,[]
22,bMv3-DWg_8Y0aXOnheekQw,149,3.5,"['pickup', 'delivery']"
23,zHsdkSpYuiRRcq7LnZ5vmg,119,4.0,"['pickup', 'delivery']"
24,m8zIvVtYGlkJWNz6JJoN7A,55,2.5,['delivery']
25,c9IrcAq0Dg4HIZ3nusTt5w,40,4.5,[]
26,pocvXbwcdfPFF3RB5949uQ,126,3.5,"['pickup', 'delivery']"
27,cALEi15f7yEoM4yeNgx2Sg,78,3.5,['delivery']
28,cDzDmJqIg72_rv1s4rCe8A,92,4.5,[]
29,bPn0HoMB_v1oaJalaAVIGw,63,4.5,[]
30,87EfTBDNptxEkxUN0q0g3g,6,2.5,"['delivery', 'pickup']"
31,vvuvA7jNX-XwxDZTpVMgTg,69,3.0,"['pickup', 'delivery']"
32,xNe_zxW9hAagLyYWboXaPQ,651,3.5,"['pickup', 'delivery']"
33,mykuQmE9FFRFrXxK4cJzmA,10,2.0,['pickup']
34,3_rtnuDvcobJRkiCdGBm3Q,7,3.5,[]
35,vkLwsTeB2Ptbp5jnaRfYgg,38,3.0,[]
36,taJIv-3okWm4HTsQWt22Ig,28,4.0,[]
37,zRNNizEDGTgSbOGzi-kg5A,374,3.5,"['delivery', 'pickup']"
38,Xm_-56cOcl5bDqzQipQR-w,329,3.5,"['delivery', 'pickup']"
39,C9Swy4r-SjlRwWFIuv0vxA,12,2.5,[]
40,zUdYemRlTndI2v8oebMMZw,154,3.0,[]
41,M2tsnxFL_3qVWaslfe9SaA,63,3.5,"['pickup', 'delivery']"
42,OGRbg94Zu0FNkAHoUOfJ9w,1,2.0,[]
43,Vm3eljEdMR496sEJxPMZ0A,32,3.0,[]
44,6c906sDbaOVpDgxOBZ-9yw,43,4.0,['delivery']
45,-nwutjiZsQvv4cZkt1Jg9w,62,4.0,"['delivery', 'pickup']"
46,tKGEJyftZXdhWQMpUjUBrQ,27,2.5,[]
47,wT4uo_LGVdplmGO5sw7bAA,43,2.5,"['pickup', 'delivery']"
48,8q6Zw1w5pAcW37hLzBUR7A,2,1.0,[]
49,wOMYi5o__2kTCRLlGeDWYQ,3,2.5,[]
50,g24Z82C66TpFdREDsr_2tw,202,3.5,['delivery']
51,khcvXcrDB5F2dVmlc9pC6Q,15,2.0,['delivery']
52,ubVzwn-N9Mr63orzi0zLKA,4,3.0,"['delivery', 'pickup']"
53,aLQtg_L1ea52bHo6WE62Xg,202,3.5,['pickup']
54,z7YgpYhaSLuoc3MH2yeecg,2,2.0,"['pickup', 'delivery']"
55,rdXRgTIKiHgTrMxO8TGY1w,93,4.5,['delivery']
56,3l-gn2KV1VZIXKQjHutPWw,18,4.0,[]
57,OrVzt-tR-kOBowaDbq0AkA,151,4.0,['delivery']
58,IYWtt-jYUSXV3GcNlijHPQ,108,4.0,"['pickup', 'delivery']"
59,x4WlDV_eFETrDD6lMojTDg,13,3.5,['delivery']
60,GFc4sD9wMPyln2wg77172Q,26,2.0,['delivery']
61,tUAC5OGmN6brmc1UikKCJQ,77,3.0,[]
62,0dGWKKknDHUMqtB7xI9GWQ,113,4.0,['delivery']
63,NlZcrwJ2AzKofQlnvg0EsA,35,3.5,[]
64,dtErLUgVzBGEiYgR4ISn-Q,7,2.0,[]
